"Fire Stations,Address,Contact,Longitude,Latitude"
"Ejigbo Fire Station,Ejigbo Council Secretariat; Ikotun – Egbe Road; NNPC Bus Stop; Ejigbo,09055694396,3.2980422,6.550858"
"Abesan Fire Station,Abesan Housing Estate; Ipaja,08135659817,3.2693,6.6095"
"Ojo Fire Station,Ojo Council Secretariat; Olojo Drive; Ojo; Lagos,07063393242,3.1833,6.4667"
"Lekki Phase I Fire Station,Akinogun Street;Oniru Private Estate;Lekki,07011555539,3.434052,6.446472"
"Lekki Phase II Fire Station,Off Abraham Adesanya Estate;Ogombo-Ajah;07063393241,3.5901,6.4657"
"Ikotun Fire Station,Ikotun/Igando Council Secretariat;Ikotun,07063393240,3.395833,6.453056"
"Sari-Iganmu Fire Station,Bola Ahmed Tinubu Tanker Terminal;Sari Iganmu,08067026444,3.3465687,6.4770388"
"Ikorodu Fire Station,Ikorodu/Shagamu Road;Odogunyan;Ikorodu,08032220495,3.5126,6.6715"
"Agege Fire Station,Abeokuta Express Way;Ilepo Bus Stop;Oke Odo,08185704012,3.3163,6.6055"
"Badagry Fire station,Topo-ASCON Road;Badagry,08033817515,2.8813,6.4150"
"Bolade  Fire station,Safety Arena;Bolade Bus Stop;Oshodi,07011555542,3.395833,6.453056"
"Epe Fire station,Opposite Council Secretariat;Ita Marun;Epe,08134238417,3.9531,6.9175"
"Isolo Fire station,Oshodi/Apapa Exp. Way;Toyota Bus Stop;Isolo,07011555524,3.322314,6.501729"
"Ilupeju Fire station,Ikorodu Road;Anthony Bus Stop; Ilupeju,08032265576,3.3669,6.5572"
"Ikeja Fire station,Mobolaji Bank – Anthony Way; Ikeja,08032219746,3.3578,6.5851"
"Alausa Fire station(HQ),Governor Road;The Secretariat;Alausa;Ikeja, 08033235891,3.3589,6.61296"
